outlier_date,context_date,taiex_close,margin_balance,index_yoy,index_qoq,margin_roc
2012-04-23,2012-04-16,7729.86,197779641.0,,0.085576735374292,0.0320136021914712
2012-04-23,2012-04-17,7585.87,195963360.0,,0.06948078679945402,0.026420262424699636
2012-04-23,2012-04-18,7605.0,195571141.0,,0.05935892417608901,0.030291076313684107
2012-04-23,2012-04-19,7622.69,195283331.0,,0.06044342054558771,0.038077603014660344
2012-04-23,2012-04-20,7507.15,193857466.0,,0.04460675314266305,0.044459993197721204
2012-04-23,2012-04-23,7481.09,192062968.0,,0.04171110931638622,0.061060098341724434
2012-04-23,2012-04-24,7498.84,191338059.0,,0.05563642199329366,0.055167843646075854
2012-04-23,2012-04-25,7563.18,191205404.0,,0.04737518487539272,0.061185352273165794
2012-04-23,2012-04-26,7521.35,191223157.0,,0.039766702747837,0.08773652154895784
2012-04-23,2012-04-27,7480.5,189817555.0,,0.009867146546498784,0.07928245998876338
2012-04-23,2012-04-30,7501.72,188638267.0,,-0.0020433466186338123,0.054828803917378544
2012-04-26,2012-04-19,7622.69,195283331.0,,0.06044342054558771,0.038077603014660344
2012-04-26,2012-04-20,7507.15,193857466.0,,0.04460675314266305,0.044459993197721204
2012-04-26,2012-04-23,7481.09,192062968.0,,0.04171110931638622,0.061060098341724434
2012-04-26,2012-04-24,7498.84,191338059.0,,0.05563642199329366,0.055167843646075854
2012-04-26,2012-04-25,7563.18,191205404.0,,0.04737518487539272,0.061185352273165794
2012-04-26,2012-04-26,7521.35,191223157.0,,0.039766702747837,0.08773652154895784
2012-04-26,2012-04-27,7480.5,189817555.0,,0.009867146546498784,0.07928245998876338
2012-04-26,2012-04-30,7501.72,188638267.0,,-0.0020433466186338123,0.054828803917378544
2012-04-26,2012-05-02,7676.81,190876764.0,,0.016902430850380457,0.05100840950378127
2012-04-26,2012-05-03,7659.53,191032844.0,,0.0009238859138107625,0.0400873693050694
2012-04-26,2012-05-04,7700.95,191134501.0,,0.0033824148305079405,0.023067873588914267
2012-04-27,2012-04-20,7507.15,193857466.0,,0.04460675314266305,0.044459993197721204
2012-04-27,2012-04-23,7481.09,192062968.0,,0.04171110931638622,0.061060098341724434
2012-04-27,2012-04-24,7498.84,191338059.0,,0.05563642199329366,0.055167843646075854
2012-04-27,2012-04-25,7563.18,191205404.0,,0.04737518487539272,0.061185352273165794
2012-04-27,2012-04-26,7521.35,191223157.0,,0.039766702747837,0.08773652154895784
2012-04-27,2012-04-27,7480.5,189817555.0,,0.009867146546498784,0.07928245998876338
2012-04-27,2012-04-30,7501.72,188638267.0,,-0.0020433466186338123,0.054828803917378544
2012-04-27,2012-05-02,7676.81,190876764.0,,0.016902430850380457,0.05100840950378127
2012-04-27,2012-05-03,7659.53,191032844.0,,0.0009238859138107625,0.0400873693050694
2012-04-27,2012-05-04,7700.95,191134501.0,,0.0033824148305079405,0.023067873588914267
2012-04-27,2012-05-07,7538.08,192755815.0,,-0.026243857573205354,0.013518344162789742
2012-09-13,2012-09-06,7326.72,185770436.0,,0.04672662204538813,0.004210164342010492
2012-09-13,2012-09-07,7424.91,185971424.0,,0.04279075254591502,0.005053216692856521
2012-09-13,2012-09-10,7482.74,186684823.0,,0.058067782038664806,0.008342337314745985
2012-09-13,2012-09-11,7485.13,186886355.0,,0.05590485312809035,0.011268359580991039
2012-09-13,2012-09-12,7570.45,187633647.0,,0.07001314469053432,0.01606666766702758
2012-09-13,2012-09-13,7578.8,187452463.0,,0.05910844723812625,0.021051295461486985
2012-09-13,2012-09-14,7738.05,187155041.0,,0.062699993133283,0.023731189247785167
2012-09-13,2012-09-17,7762.22,188053265.0,,0.06724615124437494,0.030809932686840735
2012-09-13,2012-09-18,7734.26,189546956.0,,0.05448536599664888,0.03801907927778836
2012-09-13,2012-09-19,7781.91,190601518.0,,0.06908319080099723,0.041514821736212904
2012-09-13,2012-09-20,7727.55,191414827.0,,0.06999397677944619,0.03947684261372886
2012-09-14,2012-09-07,7424.91,185971424.0,,0.04279075254591502,0.005053216692856521
2012-09-14,2012-09-10,7482.74,186684823.0,,0.058067782038664806,0.008342337314745985
2012-09-14,2012-09-11,7485.13,186886355.0,,0.05590485312809035,0.011268359580991039
2012-09-14,2012-09-12,7570.45,187633647.0,,0.07001314469053432,0.01606666766702758
2012-09-14,2012-09-13,7578.8,187452463.0,,0.05910844723812625,0.021051295461486985
2012-09-14,2012-09-14,7738.05,187155041.0,,0.062699993133283,0.023731189247785167
2012-09-14,2012-09-17,7762.22,188053265.0,,0.06724615124437494,0.030809932686840735
2012-09-14,2012-09-18,7734.26,189546956.0,,0.05448536599664888,0.03801907927778836
2012-09-14,2012-09-19,7781.91,190601518.0,,0.06908319080099723,0.041514821736212904
2012-09-14,2012-09-20,7727.55,191414827.0,,0.06999397677944619,0.03947684261372886
2012-09-14,2012-09-21,7754.59,191901333.0,,0.08207909711737305,0.04022996674105972
2012-09-17,2012-09-10,7482.74,186684823.0,,0.058067782038664806,0.008342337314745985
2012-09-17,2012-09-11,7485.13,186886355.0,,0.05590485312809035,0.011268359580991039
2012-09-17,2012-09-12,7570.45,187633647.0,,0.07001314469053432,0.01606666766702758
2012-09-17,2012-09-13,7578.8,187452463.0,,0.05910844723812625,0.021051295461486985
2012-09-17,2012-09-14,7738.05,187155041.0,,0.062699993133283,0.023731189247785167
2012-09-17,2012-09-17,7762.22,188053265.0,,0.06724615124437494,0.030809932686840735
2012-09-17,2012-09-18,7734.26,189546956.0,,0.05448536599664888,0.03801907927778836
2012-09-17,2012-09-19,7781.91,190601518.0,,0.06908319080099723,0.041514821736212904
2012-09-17,2012-09-20,7727.55,191414827.0,,0.06999397677944619,0.03947684261372886
2012-09-17,2012-09-21,7754.59,191901333.0,,0.08207909711737305,0.04022996674105972
2012-09-17,2012-09-24,7768.3,192941800.0,,0.08831271811295438,0.04287838754754936
2012-09-18,2012-09-11,7485.13,186886355.0,,0.05590485312809035,0.011268359580991039
2012-09-18,2012-09-12,7570.45,187633647.0,,0.07001314469053432,0.01606666766702758
2012-09-18,2012-09-13,7578.8,187452463.0,,0.05910844723812625,0.021051295461486985
2012-09-18,2012-09-14,7738.05,187155041.0,,0.062699993133283,0.023731189247785167
2012-09-18,2012-09-17,7762.22,188053265.0,,0.06724615124437494,0.030809932686840735
2012-09-18,2012-09-18,7734.26,189546956.0,,0.05448536599664888,0.03801907927778836
2012-09-18,2012-09-19,7781.91,190601518.0,,0.06908319080099723,0.041514821736212904
2012-09-18,2012-09-20,7727.55,191414827.0,,0.06999397677944619,0.03947684261372886
2012-09-18,2012-09-21,7754.59,191901333.0,,0.08207909711737305,0.04022996674105972
2012-09-18,2012-09-24,7768.3,192941800.0,,0.08831271811295438,0.04287838754754936
2012-09-18,2012-09-25,7734.13,192915664.0,,0.0767254953007166,0.0452410622417061
2012-09-19,2012-09-12,7570.45,187633647.0,,0.07001314469053432,0.01606666766702758
2012-09-19,2012-09-13,7578.8,187452463.0,,0.05910844723812625,0.021051295461486985
2012-09-19,2012-09-14,7738.05,187155041.0,,0.062699993133283,0.023731189247785167
2012-09-19,2012-09-17,7762.22,188053265.0,,0.06724615124437494,0.030809932686840735
2012-09-19,2012-09-18,7734.26,189546956.0,,0.05448536599664888,0.03801907927778836
2012-09-19,2012-09-19,7781.91,190601518.0,,0.06908319080099723,0.041514821736212904
2012-09-19,2012-09-20,7727.55,191414827.0,,0.06999397677944619,0.03947684261372886
2012-09-19,2012-09-21,7754.59,191901333.0,,0.08207909711737305,0.04022996674105972
2012-09-19,2012-09-24,7768.3,192941800.0,,0.08831271811295438,0.04287838754754936
2012-09-19,2012-09-25,7734.13,192915664.0,,0.0767254953007166,0.0452410622417061
2012-09-19,2012-09-26,7669.63,193570361.0,,0.06974158984937828,0.045119597536245726
2012-09-20,2012-09-13,7578.8,187452463.0,,0.05910844723812625,0.021051295461486985
2012-09-20,2012-09-14,7738.05,187155041.0,,0.062699993133283,0.023731189247785167
2012-09-20,2012-09-17,7762.22,188053265.0,,0.06724615124437494,0.030809932686840735
2012-09-20,2012-09-18,7734.26,189546956.0,,0.05448536599664888,0.03801907927778836
2012-09-20,2012-09-19,7781.91,190601518.0,,0.06908319080099723,0.041514821736212904
2012-09-20,2012-09-20,7727.55,191414827.0,,0.06999397677944619,0.03947684261372886
2012-09-20,2012-09-21,7754.59,191901333.0,,0.08207909711737305,0.04022996674105972
2012-09-20,2012-09-24,7768.3,192941800.0,,0.08831271811295438,0.04287838754754936
2012-09-20,2012-09-25,7734.13,192915664.0,,0.0767254953007166,0.0452410622417061
2012-09-20,2012-09-26,7669.63,193570361.0,,0.06974158984937828,0.045119597536245726
2012-09-20,2012-09-27,7683.8,193842088.0,,0.053111996798368644,0.05020516623752247
2012-09-21,2012-09-14,7738.05,187155041.0,,0.062699993133283,0.023731189247785167
2012-09-21,2012-09-17,7762.22,188053265.0,,0.06724615124437494,0.030809932686840735
2012-09-21,2012-09-18,7734.26,189546956.0,,0.05448536599664888,0.03801907927778836
2012-09-21,2012-09-19,7781.91,190601518.0,,0.06908319080099723,0.041514821736212904
2012-09-21,2012-09-20,7727.55,191414827.0,,0.06999397677944619,0.03947684261372886
