date,taiex_close,margin_balance,index_yoy,index_qoq,margin_roc,index_yoy_z,index_qoq_z,margin_roc_z,margin_roc_autocorr,margin_roc_autocorr_z,margin_roc_autocorr_percentile,margin_roc_autocorr_percentile_full_sample,margin_roc_autocorr_rank_252,margin_roc_persistence_score,autocorr_high_threshold,reason
2012-04-23,7481.09,192062968.0,,0.04171110931638622,0.061060098341724434,,-1.4254496956166887,2.167716367993888,,,,,,0.35,0.9958182015461547,margin_roc_z_gt_2
2012-04-26,7521.35,191223157.0,,0.039766702747837,0.08773652154895784,,-0.8286530158431863,3.0,,,,,,0.5,0.9958182015461547,margin_roc_z_gt_2
2012-04-27,7480.5,189817555.0,,0.009867146546498784,0.07928245998876338,,-1.9189234226340381,2.408000301082649,,,,,,0.55,0.9958182015461547,margin_roc_z_gt_2
2012-09-13,7578.8,187452463.0,,0.05910844723812625,0.021051295461486985,,1.2281028234299722,2.085030852233529,,,,,,0.425,0.9958182015461547,margin_roc_z_gt_2
2012-09-14,7738.05,187155041.0,,0.062699993133283,0.023731189247785167,,1.2332261252269776,2.1281782886599085,,,,,,0.47500000000000003,0.9958182015461547,margin_roc_z_gt_2
2012-09-17,7762.22,188053265.0,,0.06724615124437494,0.030809932686840735,,1.242708146708947,2.2730447086035857,,,,,,0.525,0.9958182015461547,margin_roc_z_gt_2
2012-09-18,7734.26,189546956.0,,0.05448536599664888,0.03801907927778836,,1.0643969671991529,2.4368990804249666,,,,,,0.575,0.9958182015461547,margin_roc_z_gt_2
2012-09-19,7781.91,190601518.0,,0.06908319080099723,0.041514821736212904,,1.1971721736320582,2.4817981260677735,,,,,,0.625,0.9958182015461547,margin_roc_z_gt_2
2012-09-20,7727.55,191414827.0,,0.06999397677944619,0.03947684261372886,,1.1764685271919728,2.364242951199233,,,,,,0.675,0.9958182015461547,margin_roc_z_gt_2
2012-09-21,7754.59,191901333.0,,0.08207909711737305,0.04022996674105972,,1.2948999430556487,2.2934516396526834,,,,,,0.7250000000000001,0.9958182015461547,margin_roc_persistence_score_gt_70pct;margin_roc_z_gt_2
2012-09-24,7768.3,192941800.0,,0.08831271811295438,0.04287838754754936,,1.3201244164228976,2.293412484694201,,,,,,0.7749999999999999,0.9958182015461547,margin_roc_persistence_score_gt_70pct;margin_roc_z_gt_2
2012-09-25,7734.13,192915664.0,,0.0767254953007166,0.0452410622417061,,1.162190268720044,2.2627377071779278,,,,,,0.825,0.9958182015461547,margin_roc_persistence_score_gt_70pct;margin_roc_z_gt_2
2012-09-26,7669.63,193570361.0,,0.06974158984937828,0.045119597536245726,,1.0688916214538706,2.1745844877228717,,,,,,0.875,0.9958182015461547,margin_roc_persistence_score_gt_70pct;margin_roc_z_gt_2
2012-09-27,7683.8,193842088.0,,0.053111996798368644,0.05020516623752247,,0.8749403921505096,2.2686508668287866,,,,,,0.925,0.9958182015461547,margin_roc_persistence_score_gt_70pct;margin_roc_z_gt_2
2012-09-28,7715.16,193162032.0,,0.05037330704845089,0.047899766978751535,,0.8436309944879852,2.163769562280668,,,,,,0.95,0.9958182015461547,margin_roc_persistence_score_gt_70pct;margin_roc_z_gt_2
2012-10-01,7675.72,193398899.0,,0.034692303959365844,0.052519732979774636,,0.6757938274003971,2.221321454431718,,,,,,0.975,0.9958182015461547,margin_roc_persistence_score_gt_70pct;margin_roc_z_gt_2
2012-10-02,7718.68,193421597.0,,0.039890388664873155,0.053051452446599034,,0.7201432852935082,2.1991912837073793,,,,,,1.0,0.9958182015461547,margin_roc_persistence_score_gt_70pct;margin_roc_z_gt_2
2012-10-03,7684.63,193338603.0,,0.04018121817379505,0.04505600668252585,,0.7044211302999285,1.9195711359116374,,,,,,1.0,0.9958182015461547,margin_roc_persistence_score_gt_70pct
2012-10-04,7682.34,193919410.0,,0.042579380858481786,0.04701440493625597,,0.7076472721504762,1.876733749189213,0.9917391323194248,,0.637915543575921,0.637915543575921,1.0,1.0,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct;margin_roc_persistence_score_gt_70pct
2012-10-05,7690.65,194032741.0,,0.05207826034615781,0.04425696892020747,,0.7811462830998345,1.6415832880670782,0.9918213603429711,,0.6436058700209644,0.6436058700209644,1.0,1.0,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct;margin_roc_persistence_score_gt_70pct
2012-10-08,7615.89,193604402.0,,0.05027201831383121,0.04320162896110169,,0.7416846892398217,1.481413166391872,0.9920157661439186,1.1135089759489187,0.6579814315663373,0.6579814315663373,1.0,1.0,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct;margin_roc_persistence_score_gt_70pct
2012-10-09,7592.01,192543023.0,,0.04603253553708986,0.03489987269813444,,0.6869925402356538,1.2817783478701512,0.9919821612181776,0.6745,0.6561844863731656,0.6561844863731656,0.75,1.0,0.9958182015461547,margin_roc_persistence_score_gt_70pct
2012-10-11,7451.72,191838585.0,,0.04498571715049793,0.028191576635951288,,0.6685725608873612,1.124951563203714,0.991939012144796,0.0,0.6534890685834082,0.6534890685834082,0.6,1.0,0.9958182015461547,margin_roc_persistence_score_gt_70pct
2012-10-12,7437.04,191579806.0,,0.0468408436053247,0.03214742179032104,,0.6753205847848374,1.1737820785342912,0.9919568741770263,0.14651867112738995,0.6549865229110512,0.6549865229110512,0.6666666666666666,1.0,0.9958182015461547,margin_roc_persistence_score_gt_70pct
2012-10-15,7418.9,190930991.0,,0.04638337724469821,0.03328783924750489,,0.6547582361003238,1.1782634739985844,0.991979644009366,0.48081802610453295,0.655884995507637,0.655884995507637,0.7142857142857143,1.0,0.9958182015461547,margin_roc_persistence_score_gt_70pct
2012-10-16,7471.02,191203334.0,,0.0482699593096676,0.03676859006859279,,0.6593127390989323,1.2287988605386058,0.9920294088887291,1.0031990386784206,0.660377358490566,0.660377358490566,1.0,1.0,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct;margin_roc_persistence_score_gt_70pct
2012-10-17,7464.4,191513185.0,,0.05892283357331829,0.0373557729229308,,0.6802224337061206,1.2320164217666179,0.9920599709239598,1.059622271472394,0.6630727762803235,0.6630727762803235,1.0,1.0,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct;margin_roc_persistence_score_gt_70pct
2012-10-18,7465.41,191015502.0,,0.044322151143515454,0.03815107537581475,,0.45779330487153913,1.1941821932643082,0.9923045716959605,3.0,0.6825396825396826,0.6825396825396826,1.0,1.0,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct;margin_roc_persistence_score_gt_70pct
2012-10-19,7408.76,191069534.0,,0.03406711814065666,0.0404622471325331,,0.34340641943732914,1.1832023539274574,0.9922755739907274,2.7977313708738376,0.6810422282120395,0.6810422282120395,0.9090909090909091,1.0,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct;margin_roc_persistence_score_gt_70pct
2012-10-22,7373.04,190482592.0,,0.04898608994797082,0.03809965734457732,,0.4810227559323346,1.0621362818434126,0.9922623480379599,2.2116217165232834,0.6798442647499251,0.6798442647499251,0.8333333333333334,1.0,0.9958182015461547,margin_roc_persistence_score_gt_70pct
2012-10-23,7337.48,190408115.0,,0.0469625518131942,0.040788279343102474,,0.4526204164646065,1.0121882576832386,0.992922932476152,3.0,0.7196765498652291,0.7196765498652291,1.0,1.0,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct;margin_roc_persistence_score_gt_70pct
2012-10-24,7314.88,190421550.0,,0.048107715431579656,0.040635160670777104,,0.45221883009298297,0.999748557344853,0.9928443041022308,3.0,0.7145852051512429,0.7145852051512429,0.9285714285714286,0.975,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct;margin_roc_persistence_score_gt_70pct
2012-10-25,7262.08,188987096.0,,0.041802174533654535,0.03186255324992726,,0.38386070948657364,0.8865630371665255,0.9932752292397604,3.0,0.7406409104522312,0.7406409104522312,1.0,0.95,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct;margin_roc_persistence_score_gt_70pct
2012-10-26,7134.06,184307187.0,,0.0013432540434474838,0.009874140178850688,,-0.020644104763317392,0.6174520675254013,0.9927258548965451,2.3633337259021645,0.7070979335130279,0.7070979335130279,0.8125,0.925,0.9958182015461547,margin_roc_persistence_score_gt_70pct
2012-10-29,7091.67,179974198.0,,-0.009388340075542567,-0.014036641766500102,,-0.11899926994458353,0.3265342601236172,0.9921556988036917,0.4450945145558693,0.6720575022461814,0.6720575022461814,0.5882352941176471,0.875,0.9958182015461547,margin_roc_persistence_score_gt_70pct
2012-10-30,7182.59,178725805.0,,-0.012089969176767967,-0.01791196324995592,,-0.13794716961886416,0.2897221156735434,0.9923520965501098,0.8474773211273186,0.6855345911949685,0.6855345911949685,0.7777777777777778,0.825,0.9958182015461547,margin_roc_persistence_score_gt_70pct
2012-10-31,7166.05,176972438.0,,-0.014021816300584966,-0.03168726795620447,,-0.15785383727134808,0.11106512007134418,0.9921895361330806,0.15732939808543905,0.6750524109014675,0.6750524109014675,0.5789473684210527,0.7749999999999999,0.9958182015461547,margin_roc_persistence_score_gt_70pct
2012-11-01,7179.64,176817513.0,,-0.005246961902373504,-0.033509556430290965,,-0.06439694076259952,0.08042011562860656,0.9921438853162649,-0.041619000084674215,0.6711590296495957,0.6711590296495957,0.5,0.7250000000000001,0.9958182015461547,margin_roc_persistence_score_gt_70pct
2012-11-07,7287.18,174226323.0,,-0.019710238508414357,-0.018991217339574318,,-0.15129685152708766,0.2598186238638712,0.9928655819670976,2.5689555874835843,0.7160826594788859,0.7160826594788859,0.9166666666666666,0.525,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct
2012-11-08,7242.63,174370604.0,,-0.02667474788741475,-0.020449012438282677,,-0.2025446205033358,0.2318749338330564,0.9932031716864964,3.0,0.735549565738245,0.735549565738245,0.96,0.47500000000000003,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct
2012-11-09,7293.22,174825661.0,,-0.019240751448973303,-0.01884398342617266,,-0.10338096501666919,0.2529976930385764,0.9932127707236815,3.0,0.7367475292003594,0.7367475292003594,0.9615384615384616,0.425,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct
2012-11-12,7267.75,174728206.0,,-0.02827823645418992,-0.02003473822673474,,-0.19338704756973057,0.23634753686565452,0.9932753928094995,3.0,0.7409404013177598,0.7409404013177598,1.0,0.375,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct
2012-11-13,7136.05,174805470.0,,-0.04441638300208628,-0.0207912890347125,,-0.36551229965039633,0.2331702947055794,0.9932799352486203,2.7916867822918996,0.7415393830488171,0.7415393830488171,1.0,0.325,0.9958182015461547,margin_roc_autocorr_rank_252_gt_90pct
